0,1,2,3,4,5
4,2065120693,Sun Jun 07 07:56:20 PDT 2009,NO_QUERY,FranQuintanilla,@miaakoch good luck in the concert 
4,2062854559,Sun Jun 07 00:31:28 PDT 2009,NO_QUERY,superxleyley,will play JL. Be right back. 
4,1468164662,Tue Apr 07 00:04:05 PDT 2009,NO_QUERY,muserine,@chr15t14n  thanks.
4,2064955151,Sun Jun 07 07:33:57 PDT 2009,NO_QUERY,onemanrock,@bekasaur thank you so much!!!  nice to meet you!
4,1998007153,Mon Jun 01 17:50:10 PDT 2009,NO_QUERY,MammaSteph,"@RickGershman Totally relate - my mom's a lonely only, so we kids are helping her out with our &quot;nonno&quot;. See? U need to make some kids! "
4,1999930365,Mon Jun 01 21:05:05 PDT 2009,NO_QUERY,Geidner,calling it a night...  17 pages so far. it's gonna be a looooooong night tomorrow.  goodnight 
4,1998593577,Mon Jun 01 18:48:29 PDT 2009,NO_QUERY,mollymcxc,There is a Beatles rock band coming out!?!?! 
4,1980829717,Sun May 31 07:46:49 PDT 2009,NO_QUERY,jess_lawes,finally ordered some prospectuses. 
4,1973137765,Sat May 30 10:33:35 PDT 2009,NO_QUERY,Heddyy,@singswell Thanks buddy 
4,1693268813,Sun May 03 22:02:15 PDT 2009,NO_QUERY,sheilal1,@mhwendy We went shopping in both places...  How was the concert?
4,1957301044,Fri May 29 00:05:36 PDT 2009,NO_QUERY,sumitmenon,@anexemines If u do find someone... Let me know. 
4,1984565510,Sun May 31 15:21:31 PDT 2009,NO_QUERY,GGSophie,@maliciousmandy1 exaxtly what I said as if they'd try and get it away from her then 
4,1992312336,Mon Jun 01 08:32:54 PDT 2009,NO_QUERY,ToiWeezy,@TinaGray24 &quot;If ya wanna move than move!&quot;-Mims *singin* &quot;Move if ya wanna if ya wanna if ya wanna move!&quot; It's really that simple. Lol! 
4,1791857572,Wed May 13 21:19:30 PDT 2009,NO_QUERY,whitneyannabel,and we now have all of freaks and geeks 
4,2177230363,Mon Jun 15 05:43:03 PDT 2009,NO_QUERY,tennischick38,@kewiki A quik hello/goodmorning to you..have a great Monday! 
4,1564754771,Mon Apr 20 04:48:31 PDT 2009,NO_QUERY,cnlwsu,@weak sweet! I hope our hours of work helped in some way 
4,1881795270,Fri May 22 05:34:36 PDT 2009,NO_QUERY,zelchamaa,"@Clarissa326 no, it makes it Friday evening "
4,1680742093,Sat May 02 12:23:24 PDT 2009,NO_QUERY,Eric_at_Vlerick,Ok. Now i'm listening to the soundtrack of Mamma Mia in a disused mine  and it's on repeat!
4,2000444855,Mon Jun 01 22:07:51 PDT 2009,NO_QUERY,TheRealJordin,is watching The Fugitive w/ my nana &amp; papa and eating a well deserved drumstick! What? My doctor said eat lots of dairy cuz of the meds! 
4,2186409934,Mon Jun 15 18:47:58 PDT 2009,NO_QUERY,MatthewCGoto,@IAmCristiH what u doing? 
4,1793353713,Thu May 14 02:22:00 PDT 2009,NO_QUERY,jelias27,Not much time to get on twitter - board meeting last night and ESL parent night tonight.  Looking forward to weekend ~ to catch up 
4,1992205198,Mon Jun 01 08:22:30 PDT 2009,NO_QUERY,KelseyRentchler,"Monday Monday, so good to me, Monday Monday, it was all I hoped it would be. Oh Monday morning, Monday morning couldn't guarantee.... "
4,1823870683,Sat May 16 23:15:17 PDT 2009,NO_QUERY,xoxoYaya,sooo sleepyy ! but Tonight was a Good night w/ the Bestiess  even got a Christmas giftt Lol
4,2188864474,Mon Jun 15 22:43:31 PDT 2009,NO_QUERY,Benazir100,"@grimysuspect Haha. Oh, that's good. Me? Well, I love music but I'm not an artist or anything. I wish I was, though. "
4,2182655706,Mon Jun 15 13:27:39 PDT 2009,NO_QUERY,gudem,... we have for Russia's [ Images ] Presidency of the SCO.&quot; It's called whacking the Chinese in diplomees 
4,1986398901,Sun May 31 18:47:01 PDT 2009,NO_QUERY,ClaudiaOropeza,Just watched the videoblog from @YouShallNotCast I enjoyed the Jon &amp; Kate Plus 8 reference  check it out!!! http://bit.ly/odutG
4,1976000746,Sat May 30 16:22:16 PDT 2009,NO_QUERY,ClaytonCalhoon,@brynnfoley And you? 
4,2066172502,Sun Jun 07 10:01:23 PDT 2009,NO_QUERY,EarthFire,@1sweetwhirl love your bio...&quot;be real or go home&quot; ...Lol...Most definitely!- Had to follow you 
4,1979458363,Sun May 31 03:08:02 PDT 2009,NO_QUERY,dadenisi,i'm so...oh! // back 
4,1964990254,Fri May 29 15:08:46 PDT 2009,NO_QUERY,pookamachine,wish i could take a nap in a hammock.  Jon- cant we install one in our apartment?
4,2185378787,Mon Jun 15 17:17:32 PDT 2009,NO_QUERY,ErinJanus,@mattchu Starbucks gives me a cozy feeling.  Until I order some cappuccino and see $9.00 due on the till.
4,1977343990,Sat May 30 20:45:20 PDT 2009,NO_QUERY,C_Joy,@Peasinapod Lushes still here -Twitter seems to be having some sort of fit though making tweets...............s....l.....o......w 
4,1994339809,Mon Jun 01 11:47:03 PDT 2009,NO_QUERY,giloi2009,"@Rosiecosy I know what you mean, &amp; then you have to spend ages unfollowing loads of people :/ my twitter is pretty clean right now though "
4,2190632625,Tue Jun 16 03:17:16 PDT 2009,NO_QUERY,Janen999,"@aplusk ...but then again, it's Iraq...the country of unlimited possibilities "
4,2017879981,Wed Jun 03 09:05:36 PDT 2009,NO_QUERY,Artboredom,@mattdave5710 You did work at Pentagon City right? That was your training ground. 
4,2059479762,Sat Jun 06 17:01:07 PDT 2009,NO_QUERY,Hinn888,@mfgamers Thanks! 
4,2062732857,Sun Jun 07 00:07:23 PDT 2009,NO_QUERY,hannnnnnnah,Goodnight. God is good 
4,2191949468,Tue Jun 16 06:15:13 PDT 2009,NO_QUERY,romanstrobl,"@vaclav_pech congrats, I started my 3rd week now "
4,1932969522,Tue May 26 22:39:38 PDT 2009,NO_QUERY,marakristina,EATING HAHA!! 
4,1989930812,Mon Jun 01 03:18:35 PDT 2009,NO_QUERY,jemjem1983,@_ophelia awwwww very cute in his pjs 
4,1833464063,Sun May 17 23:22:07 PDT 2009,NO_QUERY,KevinEdwardsJr,@relizao if you like 2 laugh..have a good time..follow me..its just that simple 
4,1961193755,Fri May 29 09:07:32 PDT 2009,NO_QUERY,marclamonthill,@dumilewis so you're a historian now? you damn public intellectuals will talk about anything! 
4,1978272627,Sat May 30 22:53:21 PDT 2009,NO_QUERY,Gem_Meg,just finished playing Word Challenge at Facebook. got the CEO vocabulary. darn. i wanted to be a poet.. 
4,2016250330,Wed Jun 03 06:26:49 PDT 2009,NO_QUERY,dianavi,Web Designing...   business planning...  got fever for 2 days but... fully up by tomorrow!  The show must go on.  
4,1980322000,Sun May 31 06:24:01 PDT 2009,NO_QUERY,chris0102,"redone pc, got everything back and itunes works "
4,2190599260,Tue Jun 16 03:11:26 PDT 2009,NO_QUERY,helena445,watching &quot;new again&quot; dvd  matt fazzi is such a cutie.
4,1574045907,Tue Apr 21 04:01:35 PDT 2009,NO_QUERY,OhhMegg,Day two. Just started. 
4,1677843387,Sat May 02 04:17:07 PDT 2009,NO_QUERY,melliehopkins,well last night turned out to be more boring than relaxing haha gona hit the shops today 
4,2058399894,Sat Jun 06 14:51:56 PDT 2009,NO_QUERY,Hetty4Christ,@Catholiccitizen God bless your soul!!!  He cheers me up all the time-ever need me to cheer you up-let me know-otherwise I'm here!
4,2013524722,Tue Jun 02 22:53:27 PDT 2009,NO_QUERY,Brazit,&quot;The old saying is true:'Breaking up is hard to do.' But breaking down is easy to do...&quot; i will not break down. I will stand confident 
4,2061151950,Sat Jun 06 20:16:58 PDT 2009,NO_QUERY,Doctor_Rob,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
4,1823626288,Sat May 16 22:29:51 PDT 2009,NO_QUERY,Azza77,@Sheald I'm so up for Round 2 of my weekend of fun and debauchery. 
4,2056643904,Sat Jun 06 11:31:34 PDT 2009,NO_QUERY,redmeansriot,listening to &quot;herbrightskies&quot;. texting. &amp; waiting for a phone call. 
4,1977939340,Sat May 30 22:03:11 PDT 2009,NO_QUERY,dbtp,Just a reminder   CBS News Sunday Morning features Dave Matthews Band: May 31st http://tinyurl.com/mblu4s  #dmb
